scenario_name,batch_number,sim,ir100.B_ly,ir100.H_ly,ir100.W_ly,prepElig.B_ly,prepElig.H_ly,prepElig.W_ly,i.prev.B_ly,i.prev.H_ly,i.prev.W_ly,i.prev.dx.B_ly,i.prev.dx.H_ly,i.prev.dx.W_ly,incid.B_cml,incid.H_cml,incid.W_cml
t3_0_dumb_base,5,8,1.6701577622483137,0.3033573983588202,0.25164500680428337,23925.30769230769,3094.8076923076924,31495.48076923077,0.2834655007609896,0.10328231887292165,0.05674071460656016,0.25322671083047865,0.09063574855814528,0.05207739819556422,6514,207,1267
t3_0_dumb_base,6,1,1.6016694194544683,0.5901548485056838,0.29012432040342323,23396.826923076922,3057.6153846153848,30714.96153846154,0.2923785179043054,0.10062710633413811,0.05870734835873365,0.26333656723756094,0.08659950339556499,0.05376302728013794,6550,215,1304
t3_0_dumb_base,6,2,1.6642442621754236,0.37925427271981954,0.2656151460685677,23185.326923076922,3103.8846153846152,30794.096153846152,0.30021374818800356,0.09713701051225385,0.06148914029071733,0.26906887589097356,0.08615433719323072,0.056189876798485805,6854,228,1347
t3_0_dumb_base,6,3,1.6061021260454795,0.5147693786450626,0.20814675318632456,23390.80769230769,3163.0576923076924,30941,0.2915383387515417,0.09497481514311153,0.057539808109278605,0.2607129054745515,0.08254236083515351,0.05252561366278061,6544,227,1248
t3_0_dumb_base,6,4,1.5051517218077857,0.5444162488618772,0.24734449411221715,23391.576923076922,2993.1923076923076,30647.346153846152,0.29341483867352464,0.10115835745383693,0.061671753070788364,0.26267836039060716,0.08960378195245554,0.05703818541633516,6806,235,1305
t3_0_dumb_base,6,5,1.5666115897116906,0.35924174766576283,0.2243325306258644,23256.865384615383,3077.8653846153848,31231.846153846152,0.28884898919753405,0.09465316902484408,0.057901671327303526,0.2584052548690249,0.083670944665509,0.0531816503169318,6589,207,1255
t3_0_dumb_base,6,6,1.6518224929010945,0.36748463250227825,0.24424565203818707,23467.865384615383,3025.7115384615386,30683.46153846154,0.29496558308622084,0.09286385930486489,0.05980367288082855,0.26288966685706233,0.08162601175379733,0.05480445837554519,6819,194,1319
t3_0_dumb_base,6,7,1.6161514449761667,0.6674063220593636,0.27120206241077627,23308.134615384617,3087.6153846153848,30942.884615384617,0.2927214524718284,0.09823988344685905,0.06094431485063453,0.26162484304226213,0.08435467821846651,0.05584798101927188,6815,245,1313
t3_0_dumb_base,6,8,1.629979263983477,0.5467680096434744,0.2881505380952982,23357.98076923077,3069.269230769231,30470.865384615383,0.297579273378107,0.10303212230413655,0.06170889563645486,0.2651150072795586,0.08945223390101935,0.05610181418029798,6972,235,1412
t3_0_dumb_base,7,1,1.5933837255296759,0.41847812576165844,0.25990291494742745,23545.21153846154,3106.653846153846,30750.576923076922,0.2852524868438876,0.0990385560562802,0.06028219053664396,0.25472837064558634,0.085802132907312,0.05512440052189298,6520,227,1322
t3_0_dumb_base,7,2,1.6224040932371224,0.3668876708083587,0.23598300904363662,23538.21153846154,3019.4423076923076,30744.80769230769,0.28509687147902496,0.09838136579638006,0.05996048457971209,0.25488097899145074,0.0871436385663958,0.05502845812181909,6451,212,1247
t3_0_dumb_base,7,3,1.6382022531596392,0.45918705593512377,0.27506822401652464,23207.26923076923,3075.8653846153848,31007.30769230769,0.29333301334174816,0.09593298152098022,0.0598588016226514,0.26113344504481706,0.0847671964014243,0.054504158233436704,6818,209,1358
t3_0_dumb_base,7,4,1.5451827208542697,0.40489279681716533,0.27177466017307894,23284.096153846152,3023.980769230769,30982.596153846152,0.29064954309050123,0.09860818949252158,0.059893570784196874,0.261697062079688,0.08616178589515663,0.05485218199039489,6414,225,1292
t3_0_dumb_base,7,5,1.5644510814946162,0.37536412929124324,0.2540376824725882,23373.23076923077,3128.596153846154,31049.846153846152,0.2939101736302953,0.0931970494079366,0.058188402674974084,0.26384535641307344,0.08083983320877942,0.05342954614629773,6622,220,1289
t3_0_dumb_base,7,6,1.6843330399682221,0.52228833099924,0.26220669941411406,23249.48076923077,2925.980769230769,30929.173076923078,0.2999515216700944,0.10676710574394598,0.061420680417748966,0.26862514059202464,0.0937180677743254,0.05631349100868561,7032,244,1406
t3_0_dumb_base,7,7,1.6404777865008466,0.34455823477003533,0.22588266937547802,23456.384615384617,3026.8076923076924,31099.51923076923,0.29032384946714646,0.0939576773231529,0.05856524470601338,0.26008631826333306,0.08345155960915293,0.05338704239671553,6628,205,1254
t3_0_dumb_base,7,8,1.5906666492100758,0.4368276068248505,0.29332288805574813,23175.73076923077,3111.5384615384614,30636.5,0.2954713187093614,0.09740167181602279,0.06007621822870722,0.2643196169810839,0.08539648283357641,0.05485375638456589,6818,235,1322
t3_0_dumb_base,8,1,1.5892224648857256,0.5436892837625393,0.267733460299515,22997.673076923078,2992.0384615384614,30861.076923076922,0.29357518386792325,0.09322293007830976,0.058310120931247794,0.26411590020427483,0.0831866388810293,0.053739506603904405,6566,194,1229
t3_0_dumb_base,8,2,1.52081676198497,0.3036852951530033,0.26387387879079105,23530.98076923077,3025.0576923076924,31030.30769230769,0.28839460251814,0.10060480094769067,0.06121843912639345,0.25715344861633255,0.08987369682879266,0.05614163526626994,6651,206,1379
t3_0_dumb_base,8,3,1.6666669156807452,0.4814163909734473,0.22313441058599545,23162.846153846152,3059.8846153846152,31118.01923076923,0.2979653727431592,0.09818157346841706,0.05962826189667331,0.2675019522550635,0.08511207856837476,0.05468270874893624,6846,257,1322
t3_0_dumb_base,8,4,1.6620920311853413,0.5061887127500405,0.275680264516093,23579.923076923078,2992.576923076923,31449.596153846152,0.2899948391973057,0.1018530746266716,0.057402554258393294,0.25985604660536543,0.09133439114128225,0.0527157300449501,6671,207,1326
t3_0_dumb_base,8,5,1.4809107948081766,0.47381103381387807,0.2443242378515695,23204.923076923078,3011.096153846154,31089.94230769231,0.29187976372960783,0.10539292745358136,0.059793848015694366,0.26239361701442654,0.09227321228039817,0.05494258609684251,6586,220,1272
t3_0_dumb_base,8,6,1.7420845619234275,0.5834212985775117,0.21697733100182579,23176.5,3024.403846153846,30788.01923076923,0.29224599897021913,0.11130089313092018,0.06089035891710721,0.2613158060034167,0.0952101207319753,0.055637301436414204,6704,242,1339
t3_0_dumb_base,8,7,1.667426557404184,0.3151779818070877,0.26512718814947966,23455.615384615383,3168.076923076923,31193.30769230769,0.2906691089562847,0.09992487319075642,0.05990215004695629,0.26100000466728496,0.08625802443545849,0.054730486437270694,6609,211,1304
t3_0_dumb_base,8,8,1.5693991756064039,0.5973876732306069,0.24812398570089286,23339.78846153846,3068.1923076923076,31061.923076923078,0.295607360164852,0.10329343455458773,0.05892454522054569,0.2647855911193061,0.0903780407653305,0.05427123112313366,6685,250,1266
